row,column,valid,R,SNR,PI,SQI,SpO2_ref,SpO2_C,HR_bpm
17,S17,True,0.528298974,12.1995392,0.0178381409,196,80,85,78
17,S18,True,0.525007963,11.6640034,0.0181859676,191,79,85,78
17,S19,True,0.508402765,10.3162107,0.0131676355,166,81,86,66
17,S20,True,0.619689107,11.6111412,0.0153127806,187,72,82,84
17,S21,True,0.647283852,12.2239189,0.0160556994,194,70,81,90
18,S0,True,0.299373865,11.5535049,0.00233544316,114,97,93,78
18,S1,True,0.299580485,12.7536926,0.00375241879,152,97,93,78
18,S2,True,0.239395797,12.7208958,0.00226536952,126,97,96,84
18,S3,True,0.331416905,9.51602173,0.00232655951,77,99,92,96
18,S4,True,0.313026249,12.3357754,0.00301673147,123,98,93,84
18,S5,True,0.317734003,11.9206429,0.00235728128,110,97,93,96
18,S6,True,0.204813823,11.2404642,0.0030325742,114,98,97,84
18,S7,True,0.245823756,11.5802727,0.0027196852,114,97,96,90
18,S8,True,0.274184138,10.4918203,0.00181911804,99,97,94,78
18,S9,True,0.291042119,9.60988903,0.00422612065,142,97,94,78
18,S10,True,0.281751603,12.2404909,0.00270324247,117,97,94,84
18,S11,True,0.257124007,12.0925407,0.00217656535,118,95,95,90
18,S12,True,0.326677144,10.7029772,0.00314753409,110,95,92,84
18,S13,True,0.342136264,13.0527792,0.00348418066,149,93,92,84
18,S14,True,0.33313638,13.1794014,0.00370400515,154,94,92,84
18,S15,True,0.26731354,10.7460508,0.00272892253,103,94,95,84
18,S16,True,0.404429346,12.7100811,0.00261043734,125,92,89,90
18,S17,True,0.386217445,11.593751,0.00347710727,142,91,90,78
18,S18,True,0.286877692,9.25329113,0.00286959182,74,90,94,84
18,S19,True,0.43286106,11.0478344,0.0029919073,105,84,88,90
18,S20,True,0.486585647,9.71818161,0.00468475278,163,86,86,90
18,S21,True,0.547642648,9.20118523,0.00369962584,107,84,84,102
18,S22,True,0.624071419,10.5876017,0.00373039697,117,79,82,96
18,S23,True,0.649016678,9.61573982,0.0042005647,132,80,81,90
18,S24,True,0.650040686,12.7747641,0.00427178619,176,80,81,90
18,S25,True,0.668149352,13.3832912,0.00496814353,210,76,81,90
18,S26,True,0.612358451,12.8903408,0.00390255055,157,75,82,90
19,S0,True,0.351489455,11.3662281,0.00416115159,148,98,91,96
19,S1,False,0.738197148,8.9095335,0.00414897082,117,98,79,42
19,S2,False,0.594743729,6.17168617,0.0219234154,123,98,83,36
19,S3,True,0.237516701,9.41458702,0.00594283687,168,96,96,84
19,S4,True,0.188571826,10.3387165,0.0061685415,174,97,98,84
19,S5,True,0.361328006,10.6121674,0.00823101029,173,95,91,90
19,S6,False,0.400332361,8.2019577,0.0105931275,141,96,89,90
19,S7,True,0.343737423,11.3643179,0.0070931674,180,96,92,96
19,S8,False,0.334874064,8.87070751,0.00910851918,158,96,92,78
19,S9,False,0.790453911,8.30975056,0.032935068,105,92,78,36
19,S10,True,0.367225468,10.7574787,0.0104288068,180,93,91,102
19,S11,True,0.351377517,9.85010052,0.00985059608,169,92,91,90
19,S12,True,0.487675101,10.2777777,0.00968385022,173,83,86,114
19,S13,False,0.539678931,7.95244598,0.0120021766,146,86,85,108
19,S14,False,0.469032675,7.99424458,0.00619658036,149,88,87,108
19,S15,True,0.467948824,12.0203838,0.00856189616,187,88,87,108
19,S16,True,0.631879032,10.3182983,0.00839096121,161,81,82,102
19,S17,False,0.777422726,8.27248383,0.00883069914,146,75,78,108
19,S18,True,0.737672925,11.3545227,0.0107026603,181,75,79,102
19,S19,False,1.36080134,9.6348772,0.049231831,81,76,72,36
19,S20,False,0.859667957,8.10116196,0.0105643524,150,70,76,108
19,S22,False,0.859667957,8.10116196,0.0105643524,150,70,76,108
20,S0,True,0.268623441,12.8261938,0.00696972292,204,98,95,90
20,S1,True,0.260136902,10.4421377,0.00550804706,177,96,95,90
20,S2,True,0.247117952,12.1520224,0.0053564203,202,97,96,84
20,S3,True,0.256310463,11.6830587,0.00645777117,188,98,95,96
20,S4,True,0.319289267,10.8826065,0.00485941023,178,95,93,90
20,S5,True,0.277096063,11.9928846,0.00713228527,195,95,94,84
20,S6,True,0.301559746,11.8293428,0.00620428333,192,97,93,90
20,S7,True,0.287937284,11.9631824,0.00650164858,192,97,94,84
20,S8,True,0.29776454,12.1851625,0.00852876436,197,96,93,90
20,S9,True,0.513797224,12.6492901,0.00976918638,198,86,85,96
20,S10,True,0.46086815,10.7485256,0.00715841819,181,88,87,84
20,S11,True,0.568670094,12.1982841,0.00931237265,194,83,84,96
21,S0,True,0.350415885,10.3298941,0.00293416204,90,98,91,54
21,S1,True,0.365193039,10.7863913,0.00460263528,162,97,91,54
21,S2,True,0.267424047,9.73122215,0.00410919217,135,99,95,60
21,S3,True,0.326108754,13.1553459,0.00425014412,176,97,92,54
21,S4,True,0.306228012,11.4231672,0.00538811134,187,97,93,54
21,S5,True,0.335851014,12.6307306,0.00422439957,172,97,92,54
21,S6,True,0.348809034,13.17731,0.00385043724,162,97,91,54
21,S7,True,0.329386234,12.644311,0.00429792469,169,94,92,60
21,S8,True,0.336641699,12.0889864,0.00484620966,180,95,92,60
21,S9,True,0.582517624,10.0713968,0.00746605359,163,93,83,54
21,S10,True,0.372618884,13.0943222,0.00529740518,206,96,91,60
21,S11,True,0.322906882,11.2728462,0.00637257565,189,91,92,60
21,S12,True,0.332247943,9.52192116,0.0079715047,165,97,92,54
21,S13,True,0.449326813,13.3060369,0.00498217531,209,89,88,72
21,S14,True,0.443963766,13.138999,0.0060379426,202,91,88,54
21,S15,True,0.505898893,9.31724262,0.00412946474,116,91,86,54
21,S16,True,0.409915745,11.6930342,0.00842625275,195,89,89,54
21,S17,True,0.553096354,12.2606668,0.00817014277,190,89,84,60
21,S18,True,0.569851816,12.4568949,0.0111360168,196,86,84,66
21,S19,True,0.692085326,10.0867825,0.0172114056,166,86,80,36
21,S20,True,0.500343084,13.1266479,0.00901442394,210,87,86,72
21,S21,True,0.614312053,11.6899204,0.0123438425,191,78,82,72
21,S22,True,0.495247751,11.2691202,0.0206073839,192,82,86,60
21,S23,False,0.647351325,8.35326958,0.00660927827,147,75,81,84
21,S24,True,0.705677152,11.4866638,0.0115846619,189,79,80,66
21,S25,True,0.800629854,12.0911417,0.0106211277,201,73,78,72
21,S26,True,0.712133884,10.212635,0.00963327009,177,70,80,84
22,S0,True,0.236307412,12.3832207,0.0133576747,199,97,96,42
22,S1,True,0.208985671,11.150259,0.0172645692,191,97,97,42
22,S2,True,0.221353844,10.8267651,0.0124458745,182,97,97,54
22,S3,True,0.259097129,10.7995834,0.0114402277,187,96,95,48
22,S4,True,0.250425428,11.1801901,0.0143921021,187,96,95,48
22,S5,True,0.258159459,12.6872168,0.016618574,199,96,95,48
22,S6,True,0.242266193,11.5547466,0.0140268374,195,96,96,42
22,S7,True,0.290752709,11.9035959,0.0154100973,197,95,94,48
22,S8,True,0.303738475,12.0986595,0.0184215121,199,95,93,48
22,S9,True,0.296671331,11.9515152,0.0193587746,194,94,94,54
22,S10,True,0.282366097,10.9982185,0.0112770805,181,92,94,66
22,S11,True,0.368513197,12.7841959,0.0185919479,202,90,91,54
22,S12,True,0.295030445,12.5694351,0.0167760905,198,92,94,54
22,S13,True,0.296073645,12.4829245,0.0173247196,191,92,94,60
22,S14,True,0.347471982,12.8649578,0.0212182961,199,90,91,54
22,S15,True,0.381533444,11.8245773,0.0183727965,191,87,90,60
22,S16,True,0.447465032,12.7911186,0.0199203622,202,85,88,60
22,S17,True,0.422517359,12.2831764,0.0268859062,170,86,89,60
22,S18,True,0.411658198,12.3364305,0.0272785109,169,86,89,60
22,S19,True,0.501990616,11.8289452,0.0202482063,194,85,86,60
22,S20,True,0.495223284,11.0748053,0.0268093981,162,82,86,72
22,S21,True,0.505450487,11.7037964,0.0346250907,140,81,86,60
22,S22,True,0.50420779,12.9041777,0.0306905396,159,81,86,60
22,S23,True,0.60524857,11.6907024,0.0327653587,146,77,83,66
22,S24,True,0.650334299,12.6777134,0.0419211611,127,74,81,66
22,S25,True,0.637691021,12.6302605,0.0297902673,160,76,82,66
22,S26,True,0.611667216,12.4768162,0.0383369103,130,73,82,66
